ID,transcription
Ses04F_script02_1_F013,PASS UP WHAT THESE LITTLE FISH SWIM ON TO THE BEACH FLOP AROUND AND THEN SWIM AWAY AND THEN THEY DIE
Ses04F_script02_1_F014,WHAT ARE YOU SO EXCITED ABOUT THIS ISN'T A MOLANDING WO'RE TALKING ABOUT ITS FISH ITS FISH NOBODY EVEN EATS
Ses04F_script02_1_F016,I'M JUST NOT
Ses04F_script02_1_F017,YES
Ses04F_script02_1_F019,WE DIDN'T SEE THEM THE FIRST TIME EITHER
Ses04F_script02_1_F021,ABOUT WHAT
Ses04F_script02_1_F022,IT'S RIDICULOUS
Ses04M_script01_1_F000,WHAT'S HE GOING TO SAY MAYBE WE OUGHT TO TELL HIM BEFORE HE SEES IT
Ses04M_script01_1_F007,HE'S GETTING JUST LIKE AFTER HE DIED WHAT'S THE MEANING IN THAT
Ses04M_script01_1_F011,YOU CAN'T SAY THAT TO HIM NAR
Ses04M_script01_1_F012,HOW ARE YOU GOING TO PROVE IT CAN YOU PROVE IT
Ses04M_script01_1_F013,SAY TO YOU IT IS AND TO ME BUT NOT TO HIM YOU CAN TALK YOURSELF BLUE IN THE FACE BUT THERE'S NOBODY AND NO GRAVE SO WHERE ARE YOU
Ses04M_script01_1_F015,WHY
Ses04M_script01_1_F017,WELL THAT'S ONLY YOUR BUSINESS CHRIS
Ses04M_script01_1_F018,WHAT DO YOU WANT ME TO DO YOU'RE OLD ENOUGH TO KNOW YOUR OWN MIND
Ses04M_script01_1_F019,WELL YOU WANT TO MAKE SURE YOUR FATHER ISN'T GOING TO HAVE A
Ses04M_script01_1_F021,I IGNORE WHAT I GOT IGNORE THE GIRL IS LARRY'S GIRL NO
Ses04M_script01_1_F022,FROM FATHER'S POINT OF VIEW HE IS NOT DEAD AND YOU HAVE NO RIGHT TO TAKE HIS GIRL
Ses04M_script01_1_F027,HOW DO YOU KNOW SHE'LL MARRY YOU MAYBE SHE FEELS THE SAME WAY FATHER DOES
Ses04M_script01_1_F028,THE TROUBLE IS YOU DON'T SEE ENOUGH WOMEN YOU NEVER DID
Ses04M_script01_1_F029,I DON'T SEE WHY IT HAS TO BE ANNIE
Ses04M_script01_1_F032,YES WO DID TO YOU ON HIM KEEP INE
Ses04M_script01_1_F033,JUST GIVE IT SOME MORE THOUGHT
Ses04M_script01_1_F034,WHAT THE HELL IS THIS
Ses04M_script01_1_F035,ARE YOU CRAZY
Ses04M_script01_1_F036,YOU'VE GOT A BUSINESS HERE WHAT THE HELL IS THI HIS
Ses04M_script01_1_F037,MUST YOU BE INSPIRED YES
Ses04M_script01_1_F039,YOU DON'T WANT TO THINK LIKE THAT
Ses04M_script01_1_F040,ALL RIGHT BUT JUST DON'T THINK LIKE THAT BECAUSE WHAT THE HELL DID WE WORK FOR THAT'S ALL FOR YOU CHRIS THE WHOLE SHOOTING MATCH IS JUST FOR YOU
Ses04M_script01_1_F041,BUT DON'T THINK THAT WAY YOU HEAR ME
Ses04F_impro05_F004,LOSS IT JUST LIKE I MEAN
Ses04F_impro05_F005,ITS KNOWLEDG AGE JUST DISAPPEARED INTO THIN AIR SOMEBODY WASN'T PAYING ATTENTION
Ses04F_impro05_F006,BECAUSE MY BAG IS VERY EASY TO KEEP TRACK OF IT'S GOT BIG YOU KNOW RABOW COLORED CRACPLE OVER IT AND NO ONE WOWAS PAYING ATTENTION BECAUSE NOW IT'S JUST GONE
Ses04F_impro05_F008,NO NO I HEARD I HEARD WHAT YOU SAID
Ses04F_impro05_F009,YOU'RE GETTING ME RIGHT YOU'RE GING TO GIVE ME FIFTY DOLLARS TOE COMPLETELY COVER MY BAG EVERYTHING THAT WAS IN IT THE INCONVENIENCE THAT I'VE GONE THROUGH I PAID FOR MY TICKET ALL I EXPECT IS TO SAFELY GET TO MY DESTINATION WITH MY STUFF IS THAT SO MUCH TO ASK I MEAN I REALLY DON'T THINK THAT THAT BIG DEAL TO ASK UGUISE TO HAVE MY BAG IN THE PLACE WHERE I LEAVE AND THEN PUT MY BAG WHERE I AM DONE
Ses04F_impro05_F010,YEAH WELL THAT'S GOT EVERYTHING I HAVE IN IT
Ses04F_impro05_F011,LUCK FIFTY DOLLARS IS UNACCEPTABLE MY BAG ITSELF COST OVER A HUNDRED AND FIFTY DOLLARS YOU CAN'T JUST GIVE ME FIFTY DOLLAR GIFT CERTIFICATE TO HERKOS OR WHATEVER THE AND THEN SEND ME OFF LIKE THAT THAT'S GOOD ENOUGH LIKE THAT'S ALL I NEEDED WAS FIFTY DOLLARS MY BAG IS WORTH MORE THAN THAT
Ses04F_impro05_F012,I EXPECT YOUR HEIRLINE WHO WAS RESPONSIBLE FOR MY BAG TO GIVE ME THE EQUIVALENT OF THE BAG AND ALL THE THINGS IN IT
Ses04F_impro05_F013,WE I DIDN'T SIGN ANYTHING I DIDN'T SIGN ANYTHING AND YOU PEOPLE HAVE GOT TO MAKE IS FORE
Ses04F_impro05_F014,YOU HAVE TO MAKE AMMENDS FOR WHAT YOU DID FOR LOSING MY BAG AND ALL OF MY STUFF FIFTY DOLLARS IS UNACCEPTABLE
Ses04F_impro05_F015,S IN CONDITIO NO NO I DON'T KNOW YOU KNOW W I I'M TO CALL MY LAWYER YOU KNOW ID BET WHAT IMIN TO DO I'MN TO CALL MY LAWYER AND HAVE HIM GET DOWN HERE AND EXPLAIN TO YOU THAT TIS IS AN UNACCEPTABLE OPTION
Ses04F_impro05_F016,I WANT TO TACK TO YOUR SUPERISOR
Ses04F_impro05_F017,I'VE HAD ENOUGH I WANT A SOUT NO NO UNACCEPTABLE I WANT A SAC TOO SUPERVISOR I AM DONE WITH DESES MARS
Ses04F_impro05_F018,REALLY YOU DON'T WORK FOR ANYBODY IS JUS YOU I
Ses04F_impro05_F019,OQ WILL I WANT TA CALL WHOEVER YOU REPORT TO WHOEVER YOUR BOSS IS BECAUSE I HAVE HAD ENOUGH WITH THIS AIROLINE AND I AM FINISHED WAITING FOR MY FIFTY DOLLARS GEFT CERTIFICATE TO HIM
Ses04F_impro02_F000,THE ACT IS CALLED
Ses04F_impro02_F001,I NO
Ses04F_impro02_F002,I DON'T KNOW WHAT TO SAY I DON'T WANT TO GO BUT I DON'T HAVE A LOT OF CHOICE
Ses04F_impro02_F003,WHO CAN I COME BACK I NEED YOU TO BELIEVE THAT KNO THIS
Ses04F_impro02_F005,WELL YOU HAVE TO HAVE FAITH BECAUSE I DON'T HAVE A CHOICE AND I HAVE TO GO
Ses04F_impro02_F006,DO YOU THINK I WANT TO LEAVE YOU
Ses04F_impro02_F007,I HAVE TO DO THIS I DON'T WANT A LEAVE DO YOU THINK I WANT A MISS SEEING HER GROW UP
Ses04F_impro02_F009,AND NOW AND NOW IT'S REALLY SHITTY TIMING BUT NOW I HAVE TO GO
Ses04F_impro02_F011,WHAT'S THAT'SUPPOST TO MEAN
Ses04F_impro02_F012,WELL I'LL COME BACK WHAT IS THAT SUPPOSED TO MEAN YOU'RE NOT WILLING TO WAIT FOR ME TO COME BACK
Ses04F_impro02_F017,AKES THAT HELPS
Ses04F_impro02_F018,I FEEL MUCH BETTER NOW
Ses04F_impro02_F022,THAT'S HOW YOU WANT TO LEAVE IT
Ses04F_impro02_F023,I WANT YOU TO BE O KAY WITH IT AS MUCH AS YOU CAN BE I MEAN IT'S NOT A GREAT SITUATION BUT WE DON'T HAVE AN OPTION HERE
Ses04F_impro02_F024,CAT
Ses04F_script01_1_F004,DID YOU TALK TO HIM
Ses04F_script01_1_F011,WHAT DO YOU WANT TO DO ARGUE WITH HIM
Ses04F_script01_1_F012,YOU CAN'T FAY THAT TO HIM WE
Ses04F_script01_1_F013,HOW ARE YOU GOING TO PROVE IT CAN YOU PROVE IT FOR
Ses04F_script01_1_F014,TO YOU IT IS AND TO ME BUT NOT TO HIM YOU CAN TALK YOURSELF BLUE IN THE FACE BUT THERE'S NOBODY AND NO GRAVE SO WHERE ARE YOUS
Ses04F_script01_1_F015,THE TROUBLE IS THE GODDAMNED NEWSPAPERS EVERY MONTH SOME BOY TURNS UP FROM NOWHERE SO THE NEXT ONE IS GOING TO BE LARRI EWIN
Ses04F_script01_1_F018,WELL THAT'S ONLY YOUR BUSINESS FREST YOU
Ses04F_script01_1_F019,WHAT DO YOU WANT ME TO DO YOU'RE OLD ENOUGH TO KNOW YOUR OWN MIND
Ses04F_script01_1_F022,I IGNORE WHAT I GOT INNOR THE GIRL IS LARRY'S GIRL
Ses04F_script01_1_F023,FROM FATHER'S POINT OF VIEW HE'S NOT DEAD AND YOU HAVE NO RIGHT TO TAKE HIS GIRL
Ses04F_script01_1_F024,NOW YOU CAN GO ON FROM THERE IF YOU KNOW WHERE TO GO BUT I'M TELLING YOU I DON'T KNOW WHERE TO GO SEE I DON'T KNOW NOW WHAT CAN I DO FOR YOU
Ses04F_script01_1_F025,YOU'RE A CONSIDERATE FELLOW THERE'S NOTHING WRONG IN THAT O
Ses04F_script01_1_F029,EI DON'T SEE WHY IT HAS TO BE ANNIE
Ses04F_script01_1_F030,OH THAT'S A GOOD ANSWER BUT I DON'T ANSWER ANYTHING YOU HAVEN'T SEEN HER SINCE YOU WENT TO WAR IT'S BEEN FIVE YEARS
Ses04F_script01_1_F032,YOU MARRY THAT GIRL YOURE PRONOUNCING HIM DEAD NOW WHAT HAPPENS TO YOUR FATHER DO YOU KNOW BECAUSE I DON'T
Ses04F_script01_1_F035,ARE YOU CRAZY
Ses04F_script01_1_F036,YOU'VE GOT A BUSINESS HERE WHAT THE HELL IS THIS MISSUS
Ses04F_script01_1_F037,IRY MUST YOU BE INSPIRED AS
Ses04F_script01_1_F040,ALL RIGHT BUT DON'T THINK THAT WAY
Ses04F_script01_1_F041,BECAUSE WHAT BEHELL DID WE WORK FOR THIS WHOLE SHOOTING MATCH IS JUST FOR YOU CHRIS
Ses04F_script01_1_F042,BUT DON'T THINK THAT WAY YOU HEAR ME
Ses04F_script01_1_F044,EH I CAN SEE THAT
Ses04M_script02_1_F000,FINE
Ses04M_script02_1_F002,IT'S NOT YOURS
Ses04M_script02_1_F003,IT'S OURS IT'S MINE TOO
Ses04M_script02_1_F004,YOU KEPT SAYING MY FLASHLIGHT AS IF IT'S SOMEHOW JUST YOURS HOW IS THAT SUPPOSED TO MAKE ME FEEL
Ses04M_script02_1_F005,VER YES
Ses04M_script02_1_F007,IT'S AFTER ELEVEN LET'S GO HOME
Ses04M_script02_1_F008,THERE IS NO POINT IN COMING DOWN HERE
Ses04M_script02_1_F010,SO LET'S GO HOME
Ses04M_script02_1_F012,I JUST DON'T IT'S STUPID
Ses04M_script02_1_F013,PASS UP WHAT THESE LITTLE FISH SWIM ON TO THE BEACH FLOP AROUND AND THEN THEY SWIM AWAY AND THEN THEY DIE
Ses04M_script02_1_F014,WHAT ARE YOU SO EXCITED ABOUT
Ses04M_script02_1_F017,YES
Ses04M_script02_1_F018,LAST YEAR YOU WILL ALSO REMEMBER OUR SHOES GOT WET I GOT SAND AND MY PANNIES WE GOT IN A BIG FIGHT OVER NOTHING YOU GOT A SORE THROAT AND WE DID NOT SEE THE GRUNIONS
Ses04F_impro03_F000,HAV SOMETHING TO SILE YOU
Ses04F_impro03_F001,IT'S REALLY EXCITING DON'T YOU A DEATH
Ses04F_impro03_F002,AK
Ses04F_impro03_F003,YE YES FINALLY PRVOVE THE'M GETTING MARRIED O
Ses04F_impro03_F004,I KNOW OUR VOICE
Ses04F_impro03_F005,SAINT YOU A HOKER
Ses04F_impro03_F006,YOU THINK IKEKER
Ses04F_impro03_F007,WELL ACTUALLY WE WERE JUST TALKING ABOUT THIS DAY AND I DON'T REALLY WANT TO DO LIKE THE TRADITIONAL CHURCH THING YOU KNOW SO WE ARE GOING TO GET MARRIED IN THE MEADOW
Ses04F_impro03_F009,WER I E GET VURIED IN THE MIDDLE OF THE MEADOW E E
Ses04F_impro03_F010,YOU EVERYBODY'SEEN TO COME UP OR IN A STAY IN ALL THE PRETTY CABINS UP THERE AND AM EVERYBODY'S CING TO HAVE YOU KNOW REALLY FLOWERY SORT OF NATURY STUFF AND
Ses04F_impro03_F011,GREAT SO RETTY
Ses04F_impro03_F012,N THE VERY MIDSUMMER NIGHT'S WEDDING
Ses04F_impro03_F013,S WHO THANKS THANKS ALIVE YOU'RE REALLY HELPING NO ME A I MEAN HERE I HOPE NO ONE DIE
Ses04F_impro03_F014,OH CAVE YOUR LOLE WALKY NOWHE I WAS HOPING THAT YOU WOULD HELP
Ses04F_impro03_F015,PLAN EVERYTHING SO THEN YOU CAN MAKE SURE THAT NO ONE GETS ATTACKED BY BEARS
Ses04F_impro03_F016,YACT
Ses04F_impro03_F017,REALLY
Ses04F_impro03_F018,OBAY IT'S GOING TO BE IN LIKE SIX MONTHS SO WE DON'T HAVE A REALLY LONG TIME
Ses04F_impro03_F034,THROW IN N LITTLE EY LITTLE TRIM M YELLOW MAYBE SOME YELLOW FLOWERS
Ses04F_impro03_F036,YET
Ses04F_impro03_F038,BECAUSE YOU'RE GOING TO TAKE CARE OF EVERYTHING IU CANYTHING OF ALL DETALES THAT I FORGET
Ses04F_impro03_F040,GE EHAPPEN
Ses04F_impro03_F041,A E
Ses04F_impro03_F042,TISATEST OOD LY BE ANY GOLER OF US FRIEND
Ses04F_impro03_F043,EVEN I DON'T I'VE BEEN WAITING FOR EVER ACAN'T BELIEVE IT'S FINALLY  NO
Ses04F_impro03_F044,TE PIGOL DID NOT LOOK LIKE YOUR KNOW BEWIS
Ses04F_impro03_F045,ON SOAP SOON AR YOU E AGAT MARRIED MISTER EXCITED
Ses04F_impro03_F047,YOU HAVEN'T RUINED IT YET
Ses04F_impro03_F048,YOU REALLY WHITE WOOK
Ses04F_impro03_F050,YOU COULD MAKE HER THAT EXCITED YOU RUN YOU REALLY LIKE HER YOU HAS BEEN TOGETHER FOR OARLY LONGI NOTCE
Ses04F_impro03_F051,EE THAT'S MORE THAN I NEEDED SIN TUCF
Ses04F_impro03_F052,IHE HE E
Ses04F_impro04_F000,THET AWFUL
Ses04F_impro04_F005,I'M REALLY GOOD AT WHAT I DO I JUST DON'T KNOW HOW TO MAKE SOME ONE ELSE SEE THAT
Ses04F_impro04_F006,WHAT'S WO SAID THAT BANANAS DON'T GROW OVER NIGHT YE
Ses04F_impro04_F008,NOYET BUT YOU WEREN'T UNEMPLOYED FOR THREE YEARS TRYING TO FYING TO ANY JOB I MEAN AT THIS POIN N I'M GOING TO GO DRIVE A CAVERN YOU KNOW WORKE AT THE GAS STATIONER SO ME I DON'T EVEN I DON'T KNOW WHAT'S TO DO ANY MORE
Ses04F_impro04_F011,CLEARLY EVERYTHING YOU ARE DOING IS COMPLETELY WRONG ABE
Ses04F_impro04_F013,I DON'T MEANAMIN YOU HAVE TO HAVE SOME KIND OF IDEA SOMETHING YOU COULD POSSIBLY ROW OUT THERE THAT I COULD MAYBE USE
Ses04F_impro04_F014,I MEAN IT'S NOT LIKE THIS IS A
Ses04F_impro04_F015,EXTREME REQUEST I WANT TO FIND A JOB AN EVERYBODY WANTS TO FIND IM JOHN IT'S REALLY NOT THAT PUER
Ses04F_impro04_F016,OCS MOCE LINI
Ses04F_impro04_F017,OHKSAW IM DOING SOMETHING WRONG OR WHAT AM I DOING WRONG
Ses04F_impro04_F018,I'M REALLY GOOD AT WHAT I DO I'M SMART I I'M TRAINED I HAVE THE EDUCATION I'M TALENTED I CANNOT
Ses04F_impro04_F025,THAT WHY YOUDON'T BELAS YOU HAVING SOMETHING RAN HARD IF I
Ses04F_impro04_F030,WHAT'S MOTHIY PROBLEM WHAT'S MY PROBLEM I DON'T HAVE IT JOM
Ses04F_impro04_F031,E FATTER IS PRETTY CLEAR ABOUT WHAT  PROVEM NOFO USE
Ses04M_impro05_F000,Y HOW CAN I HELP YOU
Ses04M_impro05_F001,THER
Ses04M_impro05_F002,NIMEIS ARRY LONG
Ses04M_impro05_F003,DRIG
Ses04M_impro05_F006,OH KIY AM I AM FIRST A I AM VERY SORRY YOU LOST YOUR BAG
Ses04M_impro05_F007,AH BUT ACTUALLY OUR POLICY IS OF FIFTY DOLLAR
Ses04M_impro05_F008,REFON COVERAGE OF THE BAG THAT WAS LOST YONG YES
Ses04M_impro05_F009,TETS OUR POLICYS IRING
Ses04M_impro05_F010,Y MIND I CAN'T DO THAT
Ses04M_impro05_F013,WILL COVER FIFTY
Ses04M_impro05_F017,I'M VERY SORRY I UNDERSTAND YOUR UPSET YOUE JUST GOT OFF ALARM ALIE
Ses04M_impro05_F019,I UNDERSTAND THAT I WOULD KNOW IF IT WAS MINE UM
Ses04M_impro05_F020,AT ITS BUT IT'S NOT IT HORS I UNDERSTAND
Ses04M_impro05_F036,I UNDERSTAND YOUR RUSTURATE EVERYBIT YOU WAT OF YOU
Ses04M_impro05_F037,I KNOW I UNDERSTAND IT'S PARSONAL E IT'S PERSONAL TO YOU I GET THAT
Ses04M_impro02_F009,YOU WON'T EVEN KNOW YOUR CHILD WHEN YOU COME BACK THIS IN THERE'S SOME ONE YOU COULD TALK TO
Ses04M_impro02_F020,WEN DO YOU LEAVE
Ses04M_impro02_F021,A WEEK YOU'V GIVEN ME A WEEK TO BE OQUT WITH US
Ses04M_script03_1_F005,AH IT THEN SHIVERS UP MYC FINE
Ses04M_script03_1_F006,BEHAVE EXQUISITELY
Ses04M_script03_1_F007,CERTAINLY I SHALL PROBABLY DO A COURT CURTSY
Ses04M_script03_1_F008,BUT WHAT'S SO HORRIBLE IS THAT ONE CAN'T STAY HAPPY
Ses04M_script03_1_F009,IT'S TRUE THE WHOLE BUSINESS IS A VERY POOR JOKE
Ses04M_script03_1_F012,WHO THEY
Ses04M_script03_1_F013,IF I LAUGH AT EVERYTHING I MUST LAUGH AT US TOO
Ses04M_script03_1_F014,HOW LONG WILL IT LAST THIS LUDICROUS AND OVERBEARING LOVE OF OURS
Ses04M_script03_1_F015,SHALL WE ALWAYS WANT TO BICKER AND FIGHT
Ses04M_script03_1_F017,WHAT HAPPENS IF ONE OF US DIES DOES THE ONE THAT LEUGT STILL LAUGH
Ses04M_script03_1_F018,THAT'S SERIOUS ENOUGH ISN'T IT
Ses04M_script03_1_F021,THANK YOU DEAR THE SAME APPLIES TO YOU EXCEPT THAT IF I CATCH YOU SO MUCH AS LOOKING AT ANOTHER WOMAN I WILL KILL YOU
Ses04M_script03_1_F022,WHICH PARTICULAR ONE
Ses04M_script03_1_F023,OH CHARLES THAT WAS HIS NAME CHARLES OH HE DID WRIGGLE SO BEAUTIFULLY
Ses04M_script03_1_F024,I KNOW YOU DID YOU THREW IT OUT OF THE WINDOW INTO THE GRAND CANAL I DON'T THINK I'LL EVER FORGIVE YOU FOR THAT
Ses04M_script03_1_F025,IT WENT ON INTERMITTENTLY FOR DAYS
Ses04M_script03_1_F026,IT BURNT MY COMB TOO AND ALL THE TOWELS IN THE BATHROOM
Ses04M_script03_1_F027,THAT WAS THE FIRST TIME YOU EVER HIT ME
Ses04M_script03_1_F028,THE MANAGER CAME IN AND FOUND US ROLLING ABOUT ON THE FLOOR BITING AND SCRATCHING LEKE PAY AT THE HERSE NO DEAR
Ses04M_script03_1_F029,HOW RIDICULOUS HOW UTTERLY UTTERLY RIDICULOUS
Ses04M_script03_1_F030,AND VERY MUCH SILLIER
Ses04M_script01_3_F012,EVERY DAY SINCE
Ses04M_script01_3_F013,I WAS WAITING FOR YOU CHRIS TILL THEN YOU NEVER WROTE AND WHEN YOU DID WHAT DID YOU SAY YOU SIRE CAN BE AMBIGUOUS YOU KNOW
Ses04M_script01_3_F014,I'LL NEVER FORGIVE YOU WHY DID YOU WAIT ALL THESE YEARS ALL I'VE DONE TO SIT AROUND AND WONDER IF I WAS CRAZY FOR THINKING OF YOU
Ses04M_script01_3_F022,HOW MANY
Ses04M_script01_3_F023,AHJES
Ses04M_script01_3_F027,WHAT'LL I DO WITH A FORTUNE
Ses04M_impro08_F020,HE JUST GIN TO PUT A BACK A MAN HAND O NAW YOU DO
Ses04M_impro08_F022,ONLY I THANK YOU SO MUCH
Ses04M_impro08_F023,I REALLY I REALLY APPRECIATE THIS I KNOW IT'S NOT POLICY OR WHATEVER BUT SERIOUSLY
Ses04M_impro08_F024,MAKE MY LIFE A LOT EASIER
Ses04M_impro08_F027,A YOU
Ses04M_impro08_F028,CALL UP THIS RID CALFIN ER AND A YOU KNOW WOL
Ses04M_impro08_F030,EACHO
Ses04F_impro07_F000,DOSH FOR TAME TO DAY
Ses04F_impro07_F001,MY ACCEPTANCE LETTER
Ses04F_impro07_F002,ROM YOU ANTE
Ses04F_impro07_F003,CAT I AM
Ses04F_impro07_F004,ELL YANIT GENERAL HINGSGEN
Ses04F_impro07_F005,GREAK THAT ACCEPTANCE PACTED WITH ALL THE INFORMATION I'M KNOWIN YOUR USAL MIS
Ses04F_impro07_F006,IS THE ANOW I O
Ses04F_impro07_F007,YA A NO
Ses04F_impro07_F008,ITS SAFE AROUND THERE
Ses04F_impro07_F009,THE CHAMP IS THIS BEAUTIFUL IM SO EXCITED
Ses04F_impro07_F010,WE WAN DO HONOUR BY MEET THE MATES FOR MY YOU KNOW KNOWING AWAYS RATHER A I BE
Ses04F_impro07_F011,THERE WE GOT IM PERFECT
Ses04F_impro07_F012,AND THE TAZOR EXCELLENT IS MAKE SURE TS HE BIG KNIFE
Ses04F_impro07_F013,EDLA HIS LITTLE PUNY ONE SO
Ses04F_impro07_F014,WELL I WAS THINKING MAY BE UNDER WATER BASKET WEAVING
Ses04F_impro07_F015,YOU AS SEE AS A MAJOR IN THAT RAY
Ses04F_impro07_F016,THEY HAPPYARE YOU IF HE HAS EVERYTHING CAUSE YOU AVE SEET A SEREVERRIVONS
Ses04F_impro07_F017,DONT PA WELL I'M MIND BUT
Ses04F_impro07_F018,WELL I HAVEN'T DECIDED YET I WANT TO TRY SOME THINGS OUT
Ses04F_impro07_F021,WHAT OKIN WILL I'M NOT GING TO BE UNDECIDED FOR EVER
Ses04F_impro07_F022,AND IT'S SO LOVE THA YOU CAN COME VISIT ME ALL THE TIME
Ses04F_impro07_F024,WHY SO THIS WORKS OUT PERFECTLY BAUSE I WAS WORRIED IF I DIDN'T GET IN TO YOU A SEE THE NIGHT HAVE TO GO GENWARD FAR AWAY AND AN
Ses04F_impro07_F027,EVERYTHING WORKED OUT PERFECTLY TA
Ses04F_impro07_F028,AN NOW WE SHAL HAVE A PARTY
